Название ;Науки
Право. Экономика. Психология;психологические, экономические, юридические
Право.by;юридические
Пралеска;педагогические (дошкольное образование и воспитание)
Предварительное расследование;юридические
Приборы и методы измерений;"технические (средства и методы измерений, контроля, диагностики и оценки качества и объектов и процессов); физико-математические (средства и методы измерений, контроля, диагностики и оценки качества и объектов и процессов)"
Прикладная спортивная наука;"педагогические (теория и методика физического воспитания, спортивной тренировки, оздоровительной и адаптивной физической культуры; техническое обеспечение физической культуры и спорта);"
Прикладная спортивная наука;"биологические (восстановительная медицина, спортивная медицина, лечебная физкультура, курортология и физиотерапия);"
Прикладная спортивная наука;медицинские (восстановительная медицина, спортивная медицина, лечебная физкультура, курортология и физиотерапия)
Природные ресурсы **;"биологические;"
Природные ресурсы **;"географические;"
Природные ресурсы **;"геолого-минералогические;"
Природные ресурсы **;"сельскохозяйственные;"
Природные ресурсы **;"технические (геоэкология);"
Природные ресурсы **;экономические (экономика природопользования)
Природопользование;"географические;"
Природопользование;"геолого-минералогические;"
Природопользование;"технические (геотехнология; геоэкология)"
Проблемы здоровья и экологии;"биологические (медико-биологические аспекты);"
Проблемы здоровья и экологии;медицинские
Проблемы инфокоммуникаций;"технические (информатика, вычислительная техника и управление; радиотехника, связь);"
Проблемы инфокоммуникаций;физико-математические (радиофизика, электроника)
Проблемы управления.Серия А (экономические науки, социологические науки, психологические науки);"психологические;"
Проблемы управления.Серия А (экономические науки, социологические науки, психологические науки);"социологические;"
Проблемы управления.Серия А (экономические науки, социологические науки, психологические науки);экономические
Проблемы управления.Серия В (философские науки, юридические науки, политические науки);"политические;"
Проблемы управления.Серия В (философские науки, юридические науки, политические науки);"философские;"
Проблемы управления.Серия В (философские науки, юридические науки, политические науки);юридические
Проблемы физики, математики и техники;"технические (информатика, вычислительная техника и управление);"
Проблемы физики, математики и техники;физико-математические (математика, физика)
Профессиональное образование;"педагогические (вопросы профессионального образования);"
Профессиональное образование;психологические (вопросы профессионального образования)
Психиатрия, психотерапия и клиническая психология;"медицинские (психиатрия и наркология); психологические (психологические аспекты психического здоровья)"
Психологический журнал;психологические
Репродуктивное здоровье. Восточная Европа;медицинские (гинекология и педиатрия)
Рецепт;"медицинские;"
Рецепт;фармацевтические
Роднае слова;"искусствоведение;"
Роднае слова;"культурология;"
Роднае слова;"педагогические (теория и методика обучения белорусскому языку и литературе);"
Роднае слова;филологические
Русский язык и литература;"педагогические;"
Русский язык и литература;филологические
Сацыяльна-эканамічныя і прававыя даследаванні;"экономические (бухгалтерский учет; статистика; экономика и управление народным хозяйством);"
Сацыяльна-эканамічныя і прававыя даследаванні;юридические
Системный анализ и прикладная информатика;"технические (информатика и управление; робототехника и мехатроника)"
Современная стоматология;медицинские
Спецыяльная адукацыя;педагогические
Стандартизация;"технические (приборостроение, метрология и информационно-измерительные приборы; стандартизация и управление качеством продукции)"
Стоматолог;медицинские (стоматология)
Стоматологический журнал;медицинские
Стоматология. Эстетика. Инновации;медицинские
Судебная экспертиза Беларуси;"медицинские (судебная медицина);"
Судебная экспертиза Беларуси;"технические (судебно-экспертная деятельность);"
Судебная экспертиза Беларуси;юридические
Судовы веснік;юридические
Теоретическая и прикладная механика;"технические (машиностроение, строительство); "
Теоретическая и прикладная механика;физико-математические (биомеханика, механика деформируемого твердого тела)
Трение и износ;"технические (машиностроение и машиноведение; химические технологии);"
Трение и износ;физико-математические (механика, физика конденсированного состояния)
Трудовое и социальное право;юридические
Трудовое и социальное право;"(трудовое право; право социального обеспечения)"
«Труды БГТУ» Серия 1. Лесное хозяйство, природопользова-ние и переработка возобновляемых ресурсов;"биологические;"
«Труды БГТУ» Серия 1. Лесное хозяйство, природопользова-ние и переработка возобновляемых ресурсов;"сельскохозяйственные;"
«Труды БГТУ» Серия 1. Лесное хозяйство, природопользова-ние и переработка возобновляемых ресурсов;технические (технологии)
«Труды БГТУ» Серия 2. Химические технологии, биотехнологии, геоэкология;"биологические (биотехнология); технические (геоэкология, технологии)"
«Труды БГТУ» Серия 3. Физико-математические науки и информатика;"технические (информатика, вычислительная техника и управление);"
«Труды БГТУ» Серия 3. Физико-математические науки и информатика;физико-математические (информатика)
«Труды БГТУ» Серия 4. Принт- и медиатехнологии;"технические (технологии, организация производства);"
«Труды БГТУ» Серия 4. Принт- и медиатехнологии;филологические
«Труды БГТУ» Серия 5. Экономика и управление;экономические
«Труды БГТУ» Серия 6. История, философия;"исторические;"
«Труды БГТУ» Серия 6. История, философия;философские
Труд. Профсоюзы. Общество.;"социологические; экономические; юридические"
Труды Института математики;физико-математические (математика)
Ученые записки учреждения образования «Витебская ордена «Знак Почета» государственная академия ветеринарной медицины»;"биологические;"
Ученые записки учреждения образования «Витебская ордена «Знак Почета» государственная академия ветеринарной медицины»;"ветеринарные;"
Ученые записки учреждения образования «Витебская ордена «Знак Почета» государственная академия ветеринарной медицины»;сельскохозяйственные
Финансы. Учет. Аудит;экономические
Фізіка;педагогические
Хирургия. Восточная Европа.;медицинские (хирургия, онкология, анестезиология)
Чрезвычайные ситуации: предупреждение и ликвидация;технические (безопасность деятельность человека)
Экология и животный мир;"биологические;"
Экология и животный мир;"ветеринарные;"
Экология и животный мир;сельскохозяйственные
Экономика и банки;"экономические (бухгалтерский учет и статистика; финансы, денежное обращение и кредит; региональная экономика)"
Экономика. Управление. Инновации;экономические
Экономический бюллетень. Научно-исследовательского экономического института Министерства экономики Республики Беларусь;экономические
Экстренная медицина;медицинские
Электроника инфо;технические (информационные технологии и системы)
Энергетика – Известия высших учебных заведений и энергетических объединений СНГ;"технические (строительство энергетических объектов; энергетика)"
Энергетика и ТЭК;технические (энергетика)
Энергетическая стратегия;технические (энергетика)
Энергия и менеджмент;технические (энергетика)
Энергоэффективность;технические (энергетика, электротехника)
Эпизоотология, иммунобиология, фармакология, санитария;"биологические;"
Эпизоотология, иммунобиология, фармакология, санитария;"ветеринарные;"
Эпизоотология, иммунобиология, фармакология, санитария;сельскохозяйственные
Юридический мир ;юридические
Юстыцыя Беларусi;юридические
Актуальные вопросы антропологии;"биологические (антропология);"
Актуальные вопросы антропологии;"исторические (антропология); медицинские (антропология)"
Актуальные вопросы переработки мясного и молочного сырья;"технические (технология продовольственных продуктов; процессы, аппараты и оборудование пищевых производств);"
Актуальные вопросы переработки мясного и молочного сырья;экономические
Актуальные проблемы гражданского права;юридические (вопросы гражданского права)
Актуальные проблемы интенсивного развития животноводства;"ветеринарные; сельскохозяйственные (зоотехния)"
Актуальные проблемы международных отношений и глобального развития;"исторические (история международных отношений и внешней политики);"
Актуальные проблемы международных отношений и глобального развития;политические (политические проблемы международных отношений, глобального и регионального развития)
Актуальные проблемы науки XXI века: сборник научных статей молодых ученых;"технические (информатика);"
Актуальные проблемы науки XXI века: сборник научных статей молодых ученых;юридические,
Актуальные проблемы науки XXI века: сборник научных статей молодых ученых; экономические
Актуальные проблемы международного публичного и международного частного права;"юридические (международное частное право; международное право; европейское право)"
Актуальные вопросы машиноведения;технические (машиноведение и машиностроение)
Актуальные проблемы неврологии и нейрохирургии;медицинские
Архіварыус;исторические
Архитектура;архитектура
БГМУ в авангарде медицинской науки и практики;медицинские
Беларускі археаграфічны штогоднік;исторические (документалистика, документо- и архивоведение, историография, источниковедение и методы исторического исследования, археология
Беларускі фальклор: матэрыялы і даследаванні;филологические (фольклористика)
Бібліятэчны веснік: зборнік артыкулаў;"исторические;"
Бібліятэчны веснік: зборнік артыкулаў;"культурология;"
Бібліятэчны веснік: зборнік артыкулаў;педагогические (библиотековедение, библиографоведение и книговедение)
Бизнес. Инновации. Экономика;экономические
Ботаника (исследования);биологические
Вопросы криминологии, криминалистики и судебной экспертизы;"юридические (уголовное право и криминология; уголовно-исполнительное право; уголовный процесс; криминалистика; судебно-экспертная деятельность; оперативно-розыскная деятельность);"
Вопросы криминологии, криминалистики и судебной экспертизы;медицинские (судебная медицина)
Вопросы рыбного хозяйства Беларуси;"биологические;"
Вопросы рыбного хозяйства Беларуси;сельскохозяйственные (зоотехния)
Гістарычна-археалагічны зборнік;исторические (отечественная история, историография, источниковедение и методы исторического исследования, археология)
Защита растений;"биологические;"
Защита растений;сельскохозяйственные
Зборнік навуковых прац Акадэміі паслядыпломнай адукацыі;"педагогические;"
Зборнік навуковых прац Акадэміі паслядыпломнай адукацыі;психологические
Здабыткі: дакументальныя помнікі на Беларусі;"исторические (документалистика, документоведение, архивоведение, историография, источниковедение и методы исторического исследования);"
Здабыткі: дакументальныя помнікі на Беларусі;"культурология;"
Здабыткі: дакументальныя помнікі на Беларусі;педагогические (библиотеко- и книговедение)
Здоровье и окружающая среда;"биологические (медико-биологические аспекты);"
Здоровье и окружающая среда;медицинские (профилактическая медицина)
Земледелие и селекция в Беларуси;сельскохозяйственные (агрономия)
Зоотехническая наука Беларуси;сельскохозяйственные
Исследования по истории Восточной Европы;исторические
Картофелеводство;"биологические;"
Картофелеводство;"сельскохозяйственные; технические (технология продовольственных продуктов)"
Матэрыялы па археалогіі Беларусі;исторические (археология)
Машиностроение;"технические (машиностроение и машиноведение; механика деформируемого твердого тела); "
Машиностроение; физико-математические (механика деформируемого твердого тела)
Металлургия;технические (машиностроение, металлургия)
Механизация и электрификация сельского хозяйства;"технические (сельскохозяйственное машиностроение; транспорт)"
Механика. Исследования и инновации;"технические (механика, машиностроение);"
Механика. Исследования и инновации;физико-математические (механика)
Микробные биотехнологии: фундаментальные и прикладные аспекты;"биологические (микробиология, биотехнология); "
Микробные биотехнологии: фундаментальные и прикладные аспекты;" химические (биотехнология);"
Микробные биотехнологии: фундаментальные и прикладные аспекты; сельскохозяйственные (зоотехния)
Молекулярная и прикладная генетика;"биологические;"
Молекулярная и прикладная генетика;"медицинские (медико-биологические аспекты);"
Молекулярная и прикладная генетика;сельскохозяйственные
Научные труды Академии управления при Президенте Республики Беларусь;"философские;"
Научные труды Академии управления при Президенте Республики Беларусь;"экономические;"
Научные труды Академии управления при Президенте Республики Беларусь;юридические
Научные труды Белорусской государственной академии музыки;искусствоведение (музыкальное искусство)
Научные труды Белорусского государственного экономического университета**;"политические;"
Научные труды Белорусского государственного экономического университета**;"социологические;"
Научные труды Белорусского государственного экономического университета**;"экономические;"
Научные труды Белорусского государственного экономического университета**;юридические
Научные труды Республиканского института высшей школы. Философско-гуманитарные науки;"политические;"
Научные труды Республиканского института высшей школы. Философско-гуманитарные науки;"философские;"
Научные труды Республиканского института высшей школы. Философско-гуманитарные науки;экономические
Научные труды Республиканского института высшей школы. Исторические и психолого-педагогические науки;"исторические;"
Научные труды Республиканского института высшей школы. Исторические и психолого-педагогические науки;"педагогические;"
Научные труды Республиканского института высшей школы. Исторические и психолого-педагогические науки;психологические
Овощеводство;"биологические;"
Овощеводство;сельскохозяйственные
Плодоводство;"биологические;"
Плодоводство;сельскохозяйственные
Порошковая металлургия;технические (нанотехнологии, порошковая металлургия)
Право в современном белорусском обществе;юридические
Проблемы гражданского права и процесса;юридические
Проблемы защиты информации (с грифом «Секретно»);"технические (информатика); физико-математические (математика, информатика)"
Проблемы лесоведения и лесоводства;"биологические;"
Проблемы лесоведения и лесоводства;сельскохозяйственные
 Проблемы перспективного развития железнодорожных станций и узлов;технические (управление процессами перевозок)
Проблемы современного бетона и железобетона;технические (строительство)
Проблемы укрепления законности и правопорядка: наука, практика, тенденции;юридические
Проблемы экономики;экономические (вопросы аграрной экономики)
Психологическое сопровождение образовательного процесса;психологические
Пытанні мастацтвазнаўства, этналогіі і фалькларыстыкі;"искусствоведение;"
Пытанні мастацтвазнаўства, этналогіі і фалькларыстыкі;"исторические (антропология; этнография, этнология);"
Пытанні мастацтвазнаўства, этналогіі і фалькларыстыкі;филологические (фольклористика)
Рынок транспортных услуг (проблемы повышения эффективности);экономические (бухгалтерский учет, статистика, экономика транспорта и транспортная логистика)
Сборник научных статей Военной академии Республики Беларусь;"военные;"
Сборник научных статей Военной академии Республики Беларусь;технические (вооружение и военная техника)
Сборник научных трудов НИИ Вооруженных Сил (с грифом «Секретно»);"военные (военное искусство и военное строительство); технические (теория вооружения, вооружение и военная техника)"
Свиридовские чтения;"педагогические (методика преподавания химии); химические"
Сельское хозяйство - проблемы и перспективы;"ветеринарные;"
Сельское хозяйство - проблемы и перспективы;"сельскохозяйственные;"
Сельское хозяйство - проблемы и перспективы;экономические (вопросы аграрной экономики)
Современная молодежь и общество;"культурология;"
Современная молодежь и общество;социологические
Современные методы и технологии создания и обработки материалов;"технические (материаловедение (машиностроение); технология машиностроения; обработка металлов давлением)"
Современные проблемы гигиены, радиационной и экологической медицины;медицинские (профилактическая медицина)
Социологический альманах;социологические
Современные перинатальные медицинские технологии в решении проблем демографической безопасности;медицинские (акушерство и гинекология, педиатрия, генетика)
Теория и методика профессионального образования;педагогические (теория и методика профессионального образования)
Тепло- и массоперенос / государственное научное учреждение «Институт тепло- и массообмена имени А.В.Лыкова Национальной академии наук Беларуси»;"технические (теплофизика и теоретическая теплотехника, энергетика);"
Тепло- и массоперенос / государственное научное учреждение «Институт тепло- и массообмена имени А.В.Лыкова Национальной академии наук Беларуси»;физико-математические (теплофизика и теоретическая теплотехника)
Труды Института национальной безопасности Республики Беларусь;"исторические;"
Труды Института национальной безопасности Республики Беларусь;"психологические;"
Труды Института национальной безопасности Республики Беларусь;юридические
Ученые записки / учреждения образования «Витебский государственный университет имени П.М.Машерова»;"исторические;"
Ученые записки / учреждения образования «Витебский государственный университет имени П.М.Машерова»;"филологические;"
Ученые записки / учреждения образования «Витебский государственный университет имени П.М.Машерова»;философские
Ученые записки. Сборник научных трудов Белорусского государственного университета физической культуры;"биологические (медико-биологические аспекты физической и спортивной подготовки);"
Ученые записки. Сборник научных трудов Белорусского государственного университета физической культуры;"педагогические (вопросы физического воспитания, физической культуры и спортивной тренировки; техническое обеспечение физической культуры и спорта)"
Философские исследования;философские
Экономика, моделирование, прогнозирование;экономические
Экономика, право и проблемы управления;"экономические;"
Экономика, право и проблемы управления;юридические
Экономическая наука сегодня;экономические
